normal,simple
"Released nineteen years after the previous film , the film acknowledges its star Harrison Ford 's age by setting itself in 1957 . It pays tribute to the science fiction B-movies of the era , pitting Indiana Jones against Soviet agentsâ '' led by Irina Spalko ( Cate Blanchett ) -- for a psychic alien crystal skull .","Set in 1957 , this fourth movie in the Indiana Jones movie series and is based around an older and wiser Indiana Jones ( played by Harrison Ford ) against agents of the Soviet Union -- led by Spalko ( Cate Blanchett ) -- for the crystal skull ."
"Of those that took part in the council 's opening session , four have become pontiffs to date : Cardinal Giovanni Battista Montini , who on succeeding Pope John XXIII took the name of Paul VI ; Bishop Albino Luciani , the future Pope John Paul I ; Bishop Karol WojtyÅ a , who became Pope John Paul II ; and Father Joseph Ratzinger , present as a theological consultant , who became Pope Benedict XVI .","Four future popes took part in the council 's opening session : Cardinal Giovanni Battista Montini , who on succeeding Pope John XXIII took the name of Paul VI ; Bishop Albino Luciani , the future Pope John Paul I ; Bishop Karol WojtyÅ a , who became Pope John Paul II . Father Joseph Ratzinger , who was only 35 at the time , was there as a theological consultant ."
Four times as many duodenal ulcers as gastric ulcers are diagnosed .,Duodenal ulcers are peptic ulcers in the duodenum .
"This genus includes the West Nile virus , dengue virus , Tick-borne Encephalitis Virus , Yellow Fever Virus , and several other viruses which may cause encephalitis .","This genus includes the West Nile virus , Dengue fever virus , Tick-borne Encephalitis Virus , Yellow fever virus , and several other viruses which may cause encephalitis ."
"Some are arboreal , with long balancing tails and other adaptations for climbing , while others are semiaquatic , with webbed feet and small external ears .","Some are good at climbing , with long balancing tails and other way to help them to climb , while others can swim , with webbed feet and small external ears ."
"The Palm Springs Aerial Tramway , considered to be one of the greatest engineering feats of the 20th Century , takes visitors from the valley floor to the San Jacinto Peak mountain station 8516 feet ( 2595 m ) above sea level .","One of the world 's greatest engineering feats is in Palm Springs . The Palm Springs Aerial Tramway brings visitors from the floor of the valley to the top of Mount San Jacinto , 8516 feet ( 3000 metres ) up !"
"Diagnostic sonography ( ultrasonography ) is an ultrasound-based diagnostic imaging technique used for visualizing subcutaneous body structures including tendons , muscles , joints , vessels and internal organs for possible pathology or lesions .","Diagnostic ultrasonography is the use of ultrasound to visualize hidden body structures . This medical imaging technique is used to display muscles , tendons , and other internal organs ."
"Most cheeses are acidified to a lesser degree by bacteria , which turn milk sugars into lactic acid , then the addition of rennet completes the curdling .","Most cheeses are acidified to a lesser degree by bacteria , which turn milk sugars into lactic acid , then the addition of rennet completes the curdling ."
"Their styles , textures and flavors depend on the origin of the milk ( including the animal 's diet ) , whether they have been pasteurized , the butterfat content , the bacteria and mold , the processing , and aging .","Their different styles and flavors depend on the origin of the milk and whether it has been pasteurized . It also depends on the butterfat content , the species of bacteria and mold , and the processing including the length of aging ."
"Vegetarian alternatives to rennet are available ; most are produced by fermentation of the fungus Mucor miehei , but others have been extracted from various species of the Cynara thistle family .","Most of these are produced by fermentation of the fungus called Mucor miehei . However , others have been extracted from various species of the Cynara thistle family ."
"If the mechanical energy is used to drive machinery , such as for grinding grain or pumping water , the device is called a windmill or wind pump .","If the mechanical energy is used directly by machinery , such as for pumping water , cutting lumber or grinding stones , the machine is called a windmill ."
"MimÃ hides and overhears Rodolfo first telling Marcello that he left MimÃ because of her coquettishness , but finally confessing that he fears she is slowly being consumed by a deadly illness ( most likely tuberculosis , known by the catchall name `` consumption '' in the nineteenth century ) . Rodolfo , in his poverty , can do little to help MimÃ and hopes that his pretended unkindness will inspire her to seek another , wealthier suitor ( Marcello , finalmente -- `` Marcello , finally '' ) .",MimÃ hides and hears Rodolfo telling Marcello why he left Mimi .
"The others return , with a gift of a muff to warm MimÃ 's hands and some medicine .","The others return , with a gift of a muff to warm Mimi 's hands and some medicine , and tell Rodolfo that a doctor has been called , but it is too late ."
"In two arias ( Rodolfo 's Che gelida manina -- `` What a cold little hand '' and MimÃ 's SÃ , mi chiamano MimÃ -- `` Yes , they call me MimÃ '' ) , they tell each other about their different backgrounds .","In two very famous arias ( Rodolfo 's `` Che gelida manina â '' What a cold little hand '' and Mimi 's `` SÃ , mi chiamano MimÃ â '' Yes , they call me MimÃ '' ) , they tell each other about their different backgrounds ."
"The album has been made available on various formats since its initial release ; both Parlophone and Nettwerk released it as a CD in 2000 , and it was also released as a cassette by newfound US label Capitol in 2001 .","The album has been made available on various formats since its initial release ; both Parlophone and Nettwerk released it as a CD in 2000 , and it was also released as a cassette by newfound US label Capitol in 2001 ."
"The group have also performed at various charity projects such as Band Aid 20 , Live 8 , Sound Relief , Hope for Haiti Now : A Global Benefit for Earthquake Relief , and the Teenage Cancer Trust .","The group have also performed at various charity projects , such as Band Aid 20 , Live 8 , Sound Relief , Hope for Haiti Now : A Global Benefit for Earthquake Relief , and the Teenage Cancer Trust ."
"The somatic nervous system ( SNS ) is the part of the peripheral nervous system associated with the voluntary control of body movements via skeletal muscles , and with sensory reception of external stimuli ( e.g. , touch , hearing , and sight ) .","The somatic nervous system ( SNS ) is the part of the peripheral nervous system It controls voluntary body movements by skeletal muscles , and sensory input of external stimuli ( e.g. , touch , hearing , and sight ) ."
"The SNS consists of efferent nerves responsible for stimulating muscle contraction , including all the neurons connected with skeletal muscles , skin , and sense organs .","The SNS consists of nerves responsible for stimulating muscle contraction , including all the neurons connected with skeletal muscles , skin , and sense organs ."
"The area is characterized by wide , shallow valleys , and is strewn with piles of eroded granite blocks .","There are wide , shallow valleys , and many granite rocks ."
"In the 17th century the chapel had its own building in Whitehall , which burned down in 1698 ; since 1702 it has been based at St James 's Palace .","In the 17th century the chapel had its own building in Whitehall , which burned down in 1698 . Since 1702 it has been based in St. James 's Palace ."
"Symptomatic carriers of the gene , while not hemophiliacs themselves , can have symptoms of hemophilia including a lower than normal blood clotting factor that can lead to heavy bleeding .","Some carriers of the gene are not hemophiliacs themselves , but they can have signs of hemophilia , like bleeding more than most people ."
"The Grand Duchess suffered from the painful condition hallux valgus ( bunions ) , which affected both of her big toes .","She had hallux valgus ( bunions ) , which hurt both of her big toes ."
"They slept on hard camp cots without pillows , except when they were ill , took cold baths in the morning , and were expected to tidy their rooms and do needlework to be sold at various charity events when they were not otherwise occupied .","They slept on hard camp cots without pillows when they were healthy , took cold baths in the morning , and had to clean their rooms and sometimes sew ."
"After his release from hospital , Mane visited a tattoo parlor and had a large tattoo of an ice cream cone inked onto his face .",Gucci Mane has a large tattoo of an ice cream cone tattooed onto his face which he got after he was released from the hospital .
In 1948 he received the Nobel Prize in Physiology or Medicine for his 1939 discovery of insecticidal qualities and use of DDT in the control of vector diseases such as malaria and yellow fever .,He won the Nobel Prize in Physiology or Medicine in 1948 for his discoveries discovery of insecticidal qualities and use of DDT in the control of vector diseases .
"Humans , like most animals and plants , have biological rhythms , known as circadian rhythms , which are controlled by a biological clock and work on a daily time scale . These affect body temperature , alertness , appetite , hormone secretion etc. as well as sleep timing .","Many people have problems with their sleep , appetite , alertness etc. when they work a shift during the times when their circadian rhythms indicate that they should be asleep ."
"The band currently consists of Tim McIlrath ( lead vocals , rhythm guitar ) , Zach Blair ( lead guitar , backing vocals ) , Joe Principe ( bass guitar , backing vocals ) and Brandon Barnes ( drums , percussion ) .","Their current members are Tim McIlrath ( vocals , guitar ) , Joe Principe ( bass guitar ) , Brandon Barnes ( drums ) , and Zach Blair ( guitar ) ."
"In January 2006 , after touring in support of Siren Song of the Counter Culture , Rise Against recorded their fourth studio album at the Blasting Room studio in Fort Collins , Colorado with producers Bill Stevenson and Jason Livermore .","In January 2006 , after touring in support of Siren Song of the Counter Culture , Rise Against started to work on their fourth studio album at the Blasting Room studio in Fort Collins , Colorado . With makers Bill Stevenson and Jason Livermore ."
"Rise Against toured North America , Europe , Australia , and Japan in support of Siren Song of the Counter Culture .","Rise Against toured North America , Europe , Australia , and Japan in support of Siren Song of the Counter Culture ."
The glans ( Latin for `` acorn '' ) is a vascular structure located at the tip of the penis in men or a homologous genital structure of the clitoris in women .,The glans ( Latin for `` acorn '' ) is a vascular structure on the tip of the penis in men or a homologous genital structure of the clitoris in women .
"Pethidine is also relatively contraindicated for use when a patient is suffering from liver , or kidney disease , has a history of seizures or epilepsy , has an enlarged prostate or urinary retention problems , or suffers from hypothyroidism , asthma , or Addison 's disease .","Pethidine is also relatively bad for use when a patient is suffering from liver , or kidney disease , has a history of seizures or epilepsy , has an enlarged prostate or urinary retention problems , or suffers from hyperthyroidism , asthma , or Addison 's disease ."
"In some chordates , it persists throughout life as the main axial support of the body , while in most vertebrates it becomes the vertebral body of the vertebral column .","In some chordates , it persists throughout life as the main support down the length of the body . In most vertebrates it is replaced by the vertebral column ."
Notochords were the first `` backbones '' serving as support structures in chordates such as Haikouichthys .,Notochords were the first `` backbones '' serving as support structures in chordates .
"Embryos of vertebrates have notochords today , as embryonic development often follows a pattern similar to the ancestral evolution of the modern animal 's traits .","Embryos of vertebrates have notochords today , as embryonic development often follows a pattern similar to the ancestral evolution of the modern animal 's traits ."
"Notochords were advantageous to primitive fish-ancestors because they were a rigid structure for muscle attachment , yet flexible enough to allow more movement than , for example , the exoskeleton of the dominant animals of that time .","Notochords were advantageous to primitive fish-ancestors because they were a rigid structure for muscle attachment , yet flexible enough to allow movement ."
"Both the botanical name ( from the Greek Î Ï Ï Ï Î Ï : `` drosos '' = `` dew , dewdrops '' ) as well as the English common name ( sundew , derived from Latin ros solis , meaning `` dew of the sun '' ) refer to the glistening drops of mucilage at the tip of each tentacle that resemble drops of morning dew .","Its scientific name is from the Greek Î Ï Ï Ï Î Ï : `` drosos '' = `` dew , dewdrops '' . Its English name is sundew , from Latin ros solis , meaning `` dew of the sun '' ."
"Other artists included Zounds , Flux Of Pink Indians , Omega Tribe , Rudimentary Peni , Conflict , Icelandic band KUKL ( who included singer BjÃ rk ) , classical singer Jane Gregory , Anthrax , Captain Sensible , Lack of Knowledge and the Poison Girls , a like-minded band who worked closely with Crass for several years .","These included Flux Of Pink Indians , Conflict , Poison Girls , Zounds , Honey Bane , Rudimentary Peni and others ."
"A year later , the Warrior was given the U.S. Medal of Honor ( The U.S. 's highest award for valor ) on 17 October 1921 , from the hand of General Pershing ; it hangs on a pillar near to his burial site .","The unknown warrior was awarded the United States Medal of Honor on October 17 , 1921 . This hangs on a pillar near his burial ."
"In 1828 , Conrad Van Houten of the Netherlands developed a mechanical extraction method for extracting the fat from cacao liquor resulting in cacao butter and the partly defatted cacao , a compacted mass of solids that could be sold as it was `` rock cacao '' or ground into powder .",In 1828 Conrad Van Houten of the Netherlands made a mechanical extraction method for taking away the fat from cacao liquor resulting in cacao butter and the mostly de-fatted cacao . It was a compacted mass of solids that could be sold as it was `` rock cacao '' or ground into powder .
Chocolate cake is a cake flavored with melted chocolate or cocoa powder .,A chocolate cake is a cake made with chocolate or cocoa .
"According to local media , the flood waters had reached a height of 7 o by the time it struck Grantham .","According to local media , the flood waters had reached a height of 7 o by the time it struck Grantham ."
About 35 State Emergency Service personnel from New South Wales and 20 personnel from Victoria were deployed to provide relief to exhausted staff and volunteers .,About 35 State Emergency Service workers from New South Wales and 20 from Victoria were used to provide a rest for tired staff and volunteers .
Masturbation with a partner can also theoretically result in transmission of sexually transmitted diseases by contact with bodily fluids .,Masturbation with a partner can also theoretically result in transmission of sexually transmitted diseases by contact with bodily fluids .
"In males , masturbation flushes out old sperm with low motility from the male 's genital tract .",The function of masturbation in males is to flush out old sperm with low motility from the male 's genital tract .
"Though research is still as yet scant , those suffering from cardiovascular disorders ( particularly those recovering from myocardial infarction , or heart attacks ) should resume physical activity ( including sexual intercourse and masturbation ) gradually and with the frequency and rigor which their physical status will allow .","And while doctors have no proof of this actually being true , those suffering from cardiovascular disorders ( particularly those recovering from myocardial infarction , or heart attacks ) should resume physical activity ( including sexual intercourse and masturbation ) gradually and with the frequency and rigor which their physical status will allow ."
"Frequency of masturbation is determined by many factors , e.g. , one 's resistance to sexual tension , hormone levels influencing sexual arousal , sexual habits , peer influences , health and one 's attitude to masturbation formed by culture ; E. Heiby and J. Becker examined the latter .",Sexual arousal depends on hormones . Other things that the frequency of masturbation depend on are sexual habits .
"A man whose penis has suffered a blunt trauma , severe bend or other injury during intercourse or masturbation may , rarely , sustain a penile fracture or suffer from Peyronie 's disease .",A man whose penis has suffered a blunt trauma or injury during intercourse may rarely sustain a penile fracture or suffer from Peyronie 's disease .
A study published in 1997 found an inverse association between death from coronary heart disease and frequency of orgasm even given the risk that myocardial ischemia and myocardial infarction can be triggered by sexual activity .,A study published in 1997 found an inverse association between death from coronary heart disease and frequency of orgasm even given the risk that myocardial ischemia and myocardial infarction can be triggered by sexual activity .
"Other types of storage organs ( such as corms , rhizomes , and tubers ) are sometimes erroneously referred to as bulbs . The correct term for plants that form underground storage organs , including bulbs as well as tubers and corms , is geophyte .","Some plant storage organs that are similar to bulbs , but have different names are , tubers , corms ( swollen stems ) , tuberous roots , and pseudobulbs ."
"They are facultatively aerobic , but do not produce oxygen in the process of producing energy from light , or phototrophy .","They are facultatively aerobic , but do not produce oxygen in the process of producing energy from light , or phototrophy ."
"It causes immediate closing of the eyes , difficulty breathing , runny nose , and coughing .","When someone is sprayed with pepper spray , their eyes will close and they will have difficulty breathing , a runny nose , and cough ."
"Pepper spray , also known as OC spray ( from `` Oleoresin Capsicum '' ) , OC gas , and capsicum spray , is a lachrymatory agent ( a chemical compound that irritates the eyes to cause tears , pain , and even temporary blindness ) that is used in riot control , crowd control , and personal self-defence , including defense against dogs and bears .","Pepper spray ( also called OC spray , from Oleoresin capsicum ) is a spray used for self-defence , by spraying it into an attacker 's face . It makes eyes water and causes intense pain , sometimes even leading to temporary blindness ."
"A remnant circulation aloft persisted , however , and was likely responsible for a period of near hurricane-force winds observed at the NWS Cedar City , Utah Doppler weather radar .","A remnant circulation aloft persisted , however , and was likely responsible for a period of near hurricane-force winds observed at the NWS Cedar City , Utah Doppler weather radar ."
"Natural enemies include predatory ladybirds , hoverfly larvae , parasitic wasps , aphid midge larvae , crab spiders , lacewings and entomopathogenic fungi like Lecanicillium lecanii and the Entomophthorales .","Important natural enemies include the predatory lady beetles ( Coleoptera : Coccinellidae ) , hoverfly larvae ( Diptera : Syrphidae ) , and lacewings ( Neuroptera : Chrysopidae ) , and entomopathogenic fungi like Lecanicillium lecanii and the Entomophthorales ."
"One of the most common types of arc welding is shielded metal arc welding ( SMAW ) ; it is also known as manual metal arc welding ( MMA ) or stick welding . Electric current is used to strike an arc between the base material and consumable electrode rod , which is made of steel and is covered with a flux that protects the weld area from oxidation and contamination by producing carbon dioxide ( CO2 ) gas during the welding process .",Arc welding heats metals by making a high-current electric arc between pieces of metal to be joined and an electrode .
"The process is commonly used for welding dissimilar materials , such as the welding of aluminum with steel in ship hulls or compound plates . Other solid-state welding processes include friction welding ( including friction stir welding ) , electromagnetic pulse welding , co-extrusion welding , cold welding , diffusion welding , exothermic welding , high frequency welding , hot pressure welding , induction welding , and roll welding .",Forge welding is the first kind of welding that ever was used .
"Gas tungsten arc welding ( GTAW ) , or tungsten inert gas ( TIG ) welding , is a manual welding process that uses a nonconsumable tungsten electrode , an inert or semi-inert gas mixture , and a separate filler material .",Gas tungsten arc welding ( GTAW ) : GTAW is also known as TIG ( tungsten inert gas welding ) .
"In robot welding , mechanized devices both hold the material and perform the weld and at first , spot welding was its most common application , but robotic arc welding increases in popularity as technology advances . Other key areas of research and development include the welding of dissimilar materials ( such as steel and aluminum , for example ) and new welding processes , such as friction stir , magnetic pulse , conductive heat seam , and laser-hybrid welding .",Friction stir welding is a special kind of welding that does not use heat .
"The invention of baking powder and other chemical leavening agents during the 19th century substantially increased the flexibility of this traditional pound cake by introducing the possibility of creating lighter , fluffier cakes using these traditional combinations of ingredients , and it is this transformation that brought about the modern butter cake .","This was the first butter cake . The invention of baking powder during the 19th century made it possible to have lighter , fluffier cakes using these same ingredients , making the modern butter cake ."
"A butter cake is a cake in which one of the main ingredients is butter . Butter cakes consist of taking the most basic of ingredients butter , sugar , eggs , flour , and a leavening agent ( baking powder or baking soda ) and transforming them into a baked good .",Butter cakes are high in fat because they contain so much butter .
"Hydrochloric acid may be used to make hydrated CdCl2 from the metal , or from cadmium oxide or cadmium carbonate .","Cadmium chloride is made by reacting cadmium oxide , cadmium , or cadmium carbonate with hydrochloric acid ."
"In the laboratory however , copper ( I ) iodide is prepared by simply mixing an aqueous solution of sodium or potassium iodide and a soluble copper ( II ) salt such copper sulfate .",Another way would be to react copper ( II ) sulfate and potassium iodide . This makes copper ( II ) iodide which as said before breaks down right away to make iodine and copper ( I ) iodide .
"Copper ( I ) iodide can be prepared by heating iodine and copper in concentrated hydriodic acid , HI . In the laboratory however , copper ( I ) iodide is prepared by simply mixing an aqueous solution of sodium or potassium iodide and a soluble copper ( II ) salt such copper sulfate .",Copper does not form a stable copper ( II ) iodide ; copper ( II ) iodide breaks down right away to make copper ( I ) iodide and iodine .
"Following the chase for the Mask of Life , the Toa Inika descended into the waters after receiving the mysterious clue `` save the sunken city '' from an unknown Matoran , who had saved Hahli from drowning at the cost of him dying from decompression sickness .","Following the chase for the Mask of Life , the Toa Inika descended into the waters after receiving the mysterious clue `` save the sunken city '' from an unknown Matoran , who had saved Hahli from drowning at the cost of him dying from decompression sickness ."
"Nerves move muscles in response to voluntary and autonomic ( involuntary ) signals from the brain . Deep muscles , superficial muscles , muscles of the face and internal muscles all correspond with dedicated regions in the primary motor cortex of the brain , directly anterior to the central sulcus that divides the frontal and parietal lobes .",The Smooth muscles are the other muscles in the body that are involuntary .
"Cardiac muscle is similar to skeletal muscle in both composition and action , being made up of myofibrils of sarcomeres , but anatomically different in that the muscle fibers are typically branched like a tree and connect to other cardiac muscle fibers through intercalcated discs , and form the appearance of a syncytium .",The Cardiac muscle is the muscle in the heart .
"Quicksand is a non-Newtonian fluid : when undisturbed , it often appears to be solid ( `` gel '' form ) , but a minor ( less than 1 % ) change in the stress on the quicksand will cause a sudden decrease in its viscosity ( `` sol '' form ) .","Quicksand is a non-Newtonian fluid : when undisturbed it often appears to be solid ( `` gel '' form ) , but a minor ( less than 1 % ) change in the stress on the quicksand will cause a sudden decrease in its viscosity ( `` sol '' form ) ."
"Reform means to put or change into an improved form or condition ; to amend or improve by change of color or removal of faults or abuses , beneficial change , more specifically , reversion to a pure original state , to repair , restore or to correct .","Reform means a useful change , or sometimes reversion to a pure original state ."
Note that drinking tea is only a metaphor ; if you are living in the heat you can take a nice cold drink ; if these are n't manly enough you can sit around a fire and drink beer .,"Note that drinking tea is only a metaphor ; if you are living in the heat you can take a nice cold drink ; if these are n't your style , you can sit around a fire and drink beer ."
"As Thumper 's mother said : If you ca n't say something nice , do n't say anything at all .","As Thumper 's mother said : If you ca n't say something nice , do n't say anything at all ."
"Continental climate is a climate that is characterized by important annual variation in temperature due to the lack of significant bodies of water nearby . Often winter temperature is cold enough to support a fixed period of snow each year , and relatively moderate precipitation occurring mostly in summer , although there are exceptions like the east coast areas of North America which show an even distribution of precipitationâ '' this pattern is called Humid continental climate , but dry continental climates also exist .","Continental climate is a climate that is characterized by winter temperatures cold enough to support a fixed period of snow cover each year , and relatively moderate precipitation occurring mostly in summer ."
"Unlike the megamouth shark and whale shark , the basking shark does not appear to actively seek quarry , but it does possess large olfactory bulbs that may guide it . It relies only on the water that it pushes through its gills by swimming ; the megamouth shark and whale shark can suck or pump water through their gills .",It is the second largest shark ( after the whale shark ) .
A knockout mouse is a genetically engineered mouse in which one or more genes have been turned off through a targeted mutation .,A knockout mouse is a genetically engineered mouse in which one or more genes have been turned off by a gene knockout .
"By causing a specific gene to be inactive in the mouse , and observing any differences from normal behavior or condition , researchers can infer its probable function .","By causing a specific gene to be inactive in the mouse , and observing any differences from normal behavior or condition , researchers can infer its probable function ."
A detailed explanation of how knockout ( KO ) mice are created is located at the website of the Nobel Prize in Physiology or Medicine 2007 .,A detailed explanation of how knockout ( KO ) mice are produced is at the website of the Nobel Prize in Physiology or Medicine 2007 .
"Mona Lisa ( also known as La Gioconda or La Joconde ) is a 16th-century portrait painted in oil on a poplar panel by Leonardo di ser Piero da Vinci during the Renaissance in Florence , Italy .","Mona Lisa ( also known as La Gioconda or La Joconde ) is a 16th-century portrait painted in oil by Leonardo da Vinci during the Renaissance in Florence , Italy ."
They are sensitive to the touch as they have many nerve endings ; and it is common to press or massage them with hands or orally before or during sexual activity .,"During sexual intercourse , it is common practice to press or massage breasts with hands . Breasts are sensitive to touch as they have many nerve endings ."
"Girls substantially develop breasts during puberty , as a result of changing sex hormones , chiefly estrogen , which also has been demonstrated to cause the development of woman-like , enlarged breasts in men , a condition called gynecomastia .","Girls develop breasts during puberty due to sex hormones , mainly estrogen ."
"In women , the larger mammary glands within the breast produce the milk .",The breast contains mammary glands .
"In the ancient Indian work the Kama Sutra , light scratching of the breasts with nails and biting with teeth are considered erotic .","In the ancient Indian work the Kama Sutra , marking breasts with nails and biting with teeth are explained as erotic ."
"The interaction between the remnants of Cristobal and a high pressure system over the Mid-Atlantic States produced rip currents and 4 foot ( 1.2 m ) waves along the south shore of Long Island , New York ; three people drowned from the rip currents .","Cristobal also caused rip currents and 4 foot ( 1.2 m ) waves along the south shore of Long Island , New York . Three people drowned in the rip currents ."
"Sphalerite ( ( Zn , Fe ) S ) is a mineral that is the chief ore of zinc .",Sphalerite is a mineral .
"While Nick Heidfeld scored a 2nd place finish , Robert Kubica suffered a huge crash that resulted in a long safety car period . The media was initially told Kubica had broken his leg , but it later proved that he had escaped with only a sprained ankle and concussion .","The Canadian Grand Prix brought the teams best finish to date , with Nick Heidfeld finishing in 2nd place , but Robert Kubica had a huge crash that resulted in a sprained ankle and concussion ."
"color LCD monitor , providing a video observation and sighting system with transmission capability .","color LCD screen , providing video and sighting system with transmission capability ."
"Plasmids may carry genes that provide resistance to naturally occurring antibiotics in a competitive environmental niche , or alternatively the proteins produced may act as toxins under similar circumstances .","Plasmids may carry genes that provide resistance to naturally occurring antibiotics in a competitive environmental niche , or alternatively the proteins produced may act as toxins under similar circumstances ."
"Vader loses ground as Luke lands blow after blow ; Luke knocks Vader to the ground and severs his father 's mechanical right hand . With the Emperor ordering Luke to strike Vader down and take his place , Luke glances at his own bionic hand and realizes he 's on the verge of following the same path to the dark side as his father .","Vader cuts off Luke 's hand and then tells Luke that he is actually his father , Anakin Skywalker ."
"The opium poppy ( Papaver somniferum ) is so widely used , for both drugs and food , that its worldwide production is monitored by international agencies . It yields opium and opiates , poppy seed for use in cooking and baking , poppyseed oil for both culinary and other uses , and is also cultivated as an ornamental plant .","The opium poppy , Papaver somniferum , is grown for opium , opiates or seeds to be used in cooking and baking ."
Testicular cancer has one of the highest cure rates of all cancers : in excess of 90 percent ; essentially 100 percent if it has not metastasized .,Testicular cancer has one of the highest cure rates of all cancers ; more than 90 % .
It is a drug commonly used to treat acne vulgaris and keratosis pilaris .,"As a drug , it can be used used for the treatment of acne vulgaris and keratosis pilaris ."
"On July 9 , 1861 , a hot day , Fanny was putting locks of her children 's hair into an envelope and attempting to seal it with hot sealing wax while Longfellow took a nap .","On July 9 , 1861 , a hot day , Fanny was putting locks of her children 's hair into an envelope and attempting to seal it with hot sealing wax while Longfellow took a nap ."
"I used to show dad everything I 'd built or painted at school , and this one sparked off the idea ... '' Lucy Vodden nÃ e O'Donnell , in a BBC radio interview in 2007 , said , `` I remember Julian and I both doing pictures on a double-sided easel , throwing paint at each other , much to the horror of the classroom attendant ... Julian had painted a picture and on that particular day his father turned up with the chauffeur to pick him up from school . '' Vodden died of the immune system disease lupus in 2009 .","I used to show dad everything I 'd built or painted at school , and this one sparked off the idea ... '' Lucy Vodden nÃ e O'Donnell died of an immune system disease in 2009 ."
Shellac is a very widely used single component resin varnish that is alcohol soluble .,Shellac is a very widely used single component resin varnish that is alcohol soluble .
"His best known work is without doubt the short novel Die Schwarze Spinne ( The Black Spider ) , a semi-allegorical tale of the plague in form of the titular monster that devastates a Swiss valley community ; first as a result of a pact with the devil born out of need and a second time due to the moral decay that releases the monster from its prison again .","His best known work is without doubt the short novel Die Schwarze Spinne ( The Black Spider ) , a semi-allegorical tale of the plague in form of the titular monster that devastates a Swiss valley community ; first as a result of a pact with the devil born out of need and a second time due to the moral decay that releases the monster from its prison again ."
"Evaporation exceeds precipitation , the level of water in lakes like Lake Chad falls , and rivers become dry wadis .","Evaporation exceeds precipitation , the level of water in lakes like Lake Chad falls , and rivers become dry wadis ."
They met up with each other again on a road safety committee and became working allies to extend speed restrictions and improve road markings ; cat 's eyes were perhaps the most significant fruit of their labors .,They met up with each other again on a road safety committee and became working allies to extend speed restrictions and improve road markings ; cat 's eyes were perhaps the most significant fruit of their labors .
"These include dryness and recurring skin rashes that are characterized by one or more of these symptoms : redness , skin edema ( swelling ) , itching and dryness , crusting , flaking , blistering , cracking , oozing , or bleeding .","A skin disease rashes itching and dryness , crusting , flaking , blistering , cracking , oozing , or bleeding ."
"Eczema ( From Greek ` to boil over ' ) is a form of dermatitis , or inflammation of the epidermis ( the outer layer of the skin ) .","Eczema ( From Greek Ä `` kzema , ` to boil over ' ) is a form of dermatitis , or inflammation of the epidermis are the outer layer of the skin ."
Patients who drink alcohol to excess are also more often than others found to have hepatitis C. The combination of hepatitis C and alcohol consumption accelerates the development of cirrhosis .,Hepatitis can also be caused by alcohol .
"Hepatitis is acute when it lasts less than six months and chronic when it persists longer . A group of viruses known as the hepatitis viruses cause most cases of hepatitis worldwide , but it can also be due to toxins ( notably alcohol , certain medications , some industrial organic solvents and plants ) , other infections and autoimmune diseases .","The most common forms are Hepatitis A , Hepatitis B and Hepatitis C. Most cases of Hepatitis are caused by viruses ."
"Lead ( II ) acetate is also known as lead acetate , lead diacetate , plumbous acetate , sugar of lead , lead sugar , salt of Saturn , and Goulard 's powder ( after Thomas Goulard ) .","It is also known as sugar of lead , salt of Saturn , and Goulard 's powder . It is used to make other lead compounds ."
"Also , if the reviewing administrator concludes that the block was justified , you will not be unblocked unless the reviewing administrator is convinced that you understand what you are blocked for , and that you will not do it again .","Also , if the reviewing administrator decides that the block was justified , she will not unblock you unless she is convinced that you understand what you are blocked for , and that you will not do it again ."
Complications of heart disease and diabetes weakened Robinson and made him almost blind by middle age .,Problems with heart disease and diabetes made Robinson weak . He was almost blind by middle age .
"Later that year , after he complained of numerous physical ailments , his doctors diagnosed Robinson with diabetes , a disease that also affected his brothers .","Later that year , after he complained about a lot of physical problems , his doctors diagnosed Robinson with diabetes . This disease had also affected his brothers ."
"C. albicans is commensal and is among the gut flora , the many organisms that live in the human mouth and gastrointestinal tract .","C. albicans is among the gut flora , the many organisms that live in the human mouth and gastrointestinal tract ."
"Due to the unexpected darker and more mature subject matter ( the film includes a scene in which a dog almost drowns while hanging from a bridge ) , the film was not received as well as the first Babe film was , and reviews were generally mixed .","Because of the unexpected darker and more grown up subject matter ( the movie includes a scene in which a dog almost drowns while hanging from a bridge ) , the movie was not received as well critically as the first Babe movie was , and reviews were generally mixed ."
"Among the Bantu Kavirondo goats and sheep are suffocated , the snout being held until the animal dies .","Among the Bantu Kavirondo goats and sheep are suffocated , the snout being held until the animal dies ."
"Traditional Kavirondo industries are salt-making , effected by burning reeds and water-plants and passing water through the ashes ; the smelting of iron ore ( confined to the Bantu tribes ) ; pottery and basket-work .","Traditional Kavirondo industries are salt-making , effected by burning reeds and water-plants and passing water through the ashes ; the smelting of iron ore ( confined to the Bantu tribes ) ; pottery and basket-work ."
"Those who live in the low-lying lands suffer from a mild malaria , while abroad they are subject to dysentery and pneumonia .","Those who live in the low-lying lands suffer from a mild malaria , while abroad they are subject to dysentery and pneumonia ."
"They dress wounds with butter and leaves , and for inflammation of the lungs or pleurisy , pierce a hole in the chest .","They dress wounds with butter and leaves , and for inflammation of the lungs or pleurisy , pierce a hole in the chest ."
